SN.,size of cluster,cluster member,cluster ID,member nearer to centroid,first match count,second match count
0,19,"('able', 'problem', 'hard', 'honest', 'humility', 'morality', 'fulfilled', 'decisiveness', 'peaceful', 'sure', 'capable', 'equality', 'kindness', 'crucial', 'together', 'genuine', 'vast', 'ability', 'confident')",6,sure,"(6, (0, 'leadership', 17, 29))","(0, None)"
1,16,"('friendly', 'u', 'wise', 'common', 'good', 'whole', 'diplomacy', 'polite', 'political', 'sociology', 'international', 'progressive', 'county', 'selfless', 'idiot', 'basic')",4,friendly,"(4, (1, 'diplomacy', 18, 22))","(1, (0, 'leadership', 17, 29))"
2,15,"('nice', 'ulterior', 'strong', 'inclusivity', 'umm', 'underprivileged', 'stressful', 'levelheadedness', ""i'm"", 'level-headed', 'others', 'exceptionally', 'preferably', 'proud', 'politically')",3,inclusivity,"(4, (0, 'leadership', 17, 29))","(0, None)"
3,15,"('prejudice', 'different', 'president', 'deliberate', 'sophisticated', 'qualified', 'office', 'agreeable', 'honesty', 'dedicated', 'calm', 'eloquent', 'sense', 'mature', 'compassion')",10,different,"(4, (0, 'leadership', 17, 29))","(0, None)"
4,11,"('course', 'motives', 'situations', 'leadership', 'someone', 'intelligence', 'relations', 'politics', 'country', 'systems', 'goals')",1,relations,"(3, (3, 'political skills ', 9, 16))","(2, (0, 'leadership', 17, 29))"
5,10,"('join', 'commitment', 'time', 'experience', 'lot', 'think', 'character', 'constitution', 'term', 'leader')",8,time,"(2, (0, 'leadership', 17, 29))","(0, None)"
6,8,"('trustworthy', 'groups', 'trustworthiness', 'people', 'caring', 'logical', 'willingness', 'knowledgeable')",2,trustworthy,"(2, (1, 'diplomacy', 18, 22))","(0, None)"
7,8,"('prejudices', 'management', 'appeals', 'work', 'compromise', 'negotiator', 'achievement', 'care')",5,management,"(4, (1, 'diplomacy', 18, 22))","(1, (0, 'leadership', 17, 29))"
8,8,"('decisions', 'passion', 'ethic', 'ideas', 'skills', 'qualities', 'teamwork', 'knowledge')",12,decisions,"(2, (0, 'leadership', 17, 29))","(0, None)"
9,6,"('empathy', 'bravery', 'unity', 'integrity', 'empathize', 'oriented')",0,bravery,"(2, (2, 'relate to diverse groups', 8, 17))","(1, (0, 'leadership', 17, 29))"
10,6,"('dedication', 'serve', 'run', 'understanding', 'determination', 'promises')",9,promises,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
11,5,"('controlling', 'solving', 'born', 'making', 'working')",7,born,"(3, (0, 'leadership', 17, 29))","(0, None)"
12,5,"('well', 'smart', 'approachable', 'long', 'humble')",11,approachable,"(1, (0, 'leadership', 17, 29))","(0, None)"
