SN.,size of cluster,cluster member,merge reason,first match count,second match count
0,21,"['able', 'leader', 'ability', 'skills', 'capable', 'intelligence', 'smart', 'leadership', 'wise', 'knowledgeable', 'diplomacy', 'good', 'basic', 'kindness', 'well', 'morality', 'honest', 'honesty', 'integrity', 'unity', 'whole']","[((Synset('ability.n.02'), 'possession of the qualities (especially mental qualities) required to do something or get something done'), (Synset('leadership.n.04'), 'the ability to lead'))]","(5, (1, 'diplomacy', 18, 22))","(4, (0, 'leadership', 17, 29))"
1,14,"['course', 'run', 'working', 'making', 'constitution', 'goals', 'work', 'care', 'caring', 'solving', 'determination', 'management', 'decisions', 'decisiveness']","[((Synset('able.a.01'), ""(usually followed by `to') having the necessary means or skill or know-how or authority to do something""), (Synset('able.a.01'), ""(usually followed by `to') having the necessary means or skill or know-how or authority to do something""))]","(4, (0, 'leadership', 17, 29))","(0, None)"
2,7,"['motives', 'think', 'political', 'politics', 'sociology', 'ideas', 'deliberate']","[((Synset('ability.n.02'), 'possession of the qualities (especially mental qualities) required to do something or get something done'), (Synset('skill.n.01'), 'an ability that has been acquired by training'))]","(3, (3, 'political skills ', 9, 16))","(1, (0, 'leadership', 17, 29))"
3,4,"['serve', 'qualified', 'character', 'qualities']","[((Synset('able.s.02'), 'have the skills and qualifications to do things well'), (Synset('able.s.02'), 'have the skills and qualifications to do things well'))]","(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
4,4,"['dedication', 'promises', 'dedicated', 'commitment']","[((Synset('ability.n.02'), 'possession of the qualities (especially mental qualities) required to do something or get something done'), (Synset('intelligence.n.01'), 'the ability to comprehend; to understand and profit from experience'))]","(3, (4, 'determination', 8, 13))","(0, None)"
5,3,"['situations', 'office', 'president']","[((Synset('intelligence.n.01'), 'the ability to comprehend; to understand and profit from experience'), (Synset('brightness.n.02'), 'intelligence as manifested in being quick and witty'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
6,3,"['empathy', 'empathize', 'understanding']","[((Synset('leadership.n.03'), 'the status of a leader'), (Synset('leadership.n.03'), 'the status of a leader'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
7,3,"['time', 'term', 'experience']","[((Synset('fresh.s.12'), 'improperly forward or bold'), (Synset('fresh.s.12'), 'improperly forward or bold'))]","(2, (0, 'leadership', 17, 29))","(0, None)"
8,2,"['strong', 'hard']","[((Synset('wisdom.n.02'), 'the trait of utilizing knowledge and experience with common sense and insight'), (Synset('knowledgeability.n.01'), 'wisdom as evidenced by the possession of knowledge'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
9,2,"['prejudice', 'prejudices']","[((Synset('wisdom.n.02'), 'the trait of utilizing knowledge and experience with common sense and insight'), (Synset('statesmanship.n.01'), 'wisdom in the management of public affairs'))]","(2, (2, 'relate to diverse groups', 8, 17))","(0, None)"
10,2,"['humility', 'humble']","[((Synset('wisdom.n.04'), 'the quality of being prudent and sensible'), (Synset('good.n.03'), 'that which is pleasing or valuable or useful'))]","(2, (9, 'humble', 2, 2))","(0, None)"
11,2,"['ethic', 'systems']","[((Synset('commodity.n.01'), 'articles of commerce'), (Synset('basic.n.02'), '(usually plural) a necessary commodity for which demand is constant'))]","(1, (3, 'political skills ', 9, 16))","(0, None)"
12,2,"['sure', 'confident']","[((Synset('good.n.02'), 'moral excellence or admirableness'), (Synset('kindness.n.01'), 'the quality of being warmhearted and considerate and humane and sympathetic'))]","(1, (8, 'confident', 3, 3))","(0, None)"
13,2,"['trustworthy', 'trustworthiness']","[((Synset('good.s.13'), 'resulting favorably'), (Synset('good.s.13'), 'resulting favorably'))]","(2, (6, 'honesty', 7, 10))","(0, None)"
14,2,"['nice', 'polite']","[((Synset('good.n.02'), 'moral excellence or admirableness'), (Synset('morality.n.01'), 'concern with the distinction between good and evil or right and wrong; right or good conduct'))]","(2, (1, 'diplomacy', 18, 22))","(0, None)"
15,2,"['friendly', 'approachable']","[((Synset('good.s.19'), 'not forged'), (Synset('good.s.19'), 'not forged'))]","(2, (1, 'diplomacy', 18, 22))","(0, None)"
16,1,['negotiator'],"[((Synset('honesty.n.01'), 'the quality of being honest'), (Synset('honesty.n.01'), 'the quality of being honest'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
17,1,['progressive'],"[((Synset('honesty.n.01'), 'the quality of being honest'), (Synset('integrity.n.02'), 'moral soundness'))]","(0, None)","(0, None)"
18,1,['agreeable'],"[((Synset('integrity.n.01'), 'an undivided or unbroken completeness or totality with nothing wanting'), (Synset('integrity.n.01'), 'an undivided or unbroken completeness or totality with nothing wanting'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
19,1,['calm'],"[((Synset('integrity.n.01'), 'an undivided or unbroken completeness or totality with nothing wanting'), (Synset('integrity.n.01'), 'an undivided or unbroken completeness or totality with nothing wanting'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
20,1,['county'],"[((Synset('run.v.06'), 'move along, of liquids'), (Synset('run.v.06'), 'move along, of liquids'))]","(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
21,1,['exceptionally'],"[((Synset('function.v.01'), 'perform as expected when applied'), (Synset('function.v.01'), 'perform as expected when applied'))]","(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
22,1,['lot'],"[((Synset('make.v.36'), 'proceed along a path'), (Synset('make.v.36'), 'proceed along a path'))]","(0, None)","(0, None)"
23,1,['compromise'],"[((Synset('form.v.02'), 'to compose or represent:""This wall forms the background of the stage setting""'), (Synset('form.v.02'), 'to compose or represent:""This wall forms the background of the stage setting""'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
24,1,['genuine'],"[((Synset('run.n.01'), 'a score in baseball made by a runner touching all four bases safely'), (Synset('goal.n.04'), 'a successful attempt at scoring'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
25,1,['selfless'],"[((Synset('function.v.01'), 'perform as expected when applied'), (Synset('function.v.01'), 'perform as expected when applied'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
26,1,['preferably'],"[((Synset('work.n.01'), 'activity directed toward making or doing something'), (Synset('care.n.01'), 'the work of providing treatment for or attending to someone or something'))]","(0, None)","(0, None)"
27,1,['vast'],"[((Synset('care.v.01'), 'feel concern or interest'), (Synset('care.v.01'), 'feel concern or interest'))]","(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
28,1,['logical'],"[((Synset('solve.v.01'), 'find the solution to (a problem or question) or understand the meaning of'), (Synset('solve.v.01'), 'find the solution to (a problem or question) or understand the meaning of'))]","(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
29,1,['born'],"[((Synset('resolution.n.04'), 'finding a solution to a problem'), (Synset('determination.n.01'), 'the act of determining the properties of something, usually by research or calculation'))]","(0, None)","(0, None)"
30,1,['level-headed'],"[((Synset('manage.v.02'), 'be in charge of, act on, or dispose of'), (Synset('manage.v.02'), 'be in charge of, act on, or dispose of'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
31,1,['eloquent'],"[((Synset('decision.n.02'), 'a position or opinion or judgment reached after consideration'), (Synset('decision.n.02'), 'a position or opinion or judgment reached after consideration'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
32,1,['proud'],"[((Synset('decisiveness.n.01'), 'the trait of resoluteness as evidenced by firmness of character or purpose'), (Synset('decisiveness.n.01'), 'the trait of resoluteness as evidenced by firmness of character or purpose'))]","(1, (8, 'confident', 3, 3))","(0, None)"
33,1,['long'],"[((Synset('politeness.n.01'), 'a courteous manner that respects accepted social usage'), (Synset('politeness.n.01'), 'a courteous manner that respects accepted social usage'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
