SN.,size of cluster,cluster member,merge reason,first match count,second match count
0,76,"['able', 'leader', 'ability', 'skills', 'capable', 'intelligence', 'smart', 'leadership', 'wise', 'knowledgeable', 'diplomacy', 'good', 'basic', 'kindness', 'well', 'morality', 'honest', 'honesty', 'integrity', 'unity', 'whole', 'knowledge', 'compassion', 'achievement', 'situations', 'office', 'president', 'negotiator', 'time', 'term', 'experience', 'serve', 'qualified', 'character', 'qualities', 'logical', 'fulfilled', 'different', 'empathy', 'empathize', 'understanding', 'sense', 'u', 'motives', 'think', 'political', 'politics', 'sociology', 'ideas', 'deliberate', 'problem', 'nice', 'polite', 'course', 'run', 'working', 'making', 'constitution', 'goals', 'work', 'care', 'caring', 'solving', 'determination', 'management', 'decisions', 'decisiveness', 'compromise', 'teamwork', 'selfless', 'prejudice', 'prejudices', 'dedication', 'promises', 'dedicated', 'commitment']","[((Synset('ability.n.02'), 'possession of the qualities (especially mental qualities) required to do something or get something done'), (Synset('cognition.n.01'), 'the psychological result of perception and learning and reasoning'))]","(15, (0, 'leadership', 17, 29))","(0, None)"
1,7,"['ethic', 'systems', 'relations', 'groups', 'people', 'country', 'county']","[((Synset('forgivingness.n.01'), 'tendency to be kind and forgiving'), (Synset('compassion.n.02'), 'the humane quality of understanding the suffering of others and wanting to do something about it'))]","(3, (2, 'relate to diverse groups', 8, 17))","(0, None)"
2,5,"['friendly', 'approachable', 'willingness', 'calm', 'agreeable']","[((Synset('kindness.n.03'), 'a kind act'), (Synset('accomplishment.n.01'), 'the action of accomplishing something'))]","(4, (1, 'diplomacy', 18, 22))","(1, (0, 'leadership', 17, 29))"
3,2,"['trustworthy', 'trustworthiness']","[((Synset('intelligence.n.02'), 'a unit responsible for gathering and interpreting information about an enemy'), (Synset('agency.n.01'), 'an administrative unit of government'))]","(2, (6, 'honesty', 7, 10))","(0, None)"
4,2,"['common', 'lot']","[((Synset('president_of_the_united_states.n.01'), 'the person who holds the office of head of state of the United States government'), (Synset('negotiator.n.01'), 'someone who negotiates (confers with others in order to reach a settlement)'))]","(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
5,2,"['sure', 'confident']","[((Synset('presidency.n.01'), 'the tenure of a president'), (Synset('term.n.02'), 'a limited period of time'))]","(1, (8, 'confident', 3, 3))","(0, None)"
6,2,"['strong', 'hard']","[((Synset('ability.n.01'), 'the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment'), (Synset('quality.n.01'), 'an essential and distinguishing attribute of something or someone'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
7,2,"['humility', 'humble']","[((Synset('quality.n.01'), 'an essential and distinguishing attribute of something or someone'), (Synset('logicality.n.01'), 'correct and valid reasoning'))]","(2, (9, 'humble', 2, 2))","(0, None)"
8,1,['long'],"[((Synset('suffice.v.01'), 'be sufficient; be adequate, either in quality or quantity'), (Synset('satisfy.v.01'), 'meet the requirements or expectations of'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
9,1,['proud'],"[((Synset('quality.n.01'), 'an essential and distinguishing attribute of something or someone'), (Synset('difference.n.01'), 'the quality of being unlike or dissimilar'))]","(1, (8, 'confident', 3, 3))","(0, None)"
10,1,['mature'],"[((Synset('compassion.n.01'), ""a deep awareness of and sympathy for another's suffering""), (Synset('empathy.n.01'), ""understanding and entering into another's feelings""))]","(1, (0, 'leadership', 17, 29))","(0, None)"
11,1,['eloquent'],"[((Synset('understanding.n.01'), 'the cognitive condition of someone who understands'), (Synset('sense.n.05'), 'a natural appreciation or ability'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
12,1,['appeals'],"[((Synset('character.n.08'), 'a written symbol that is used to represent speech'), (Synset('u.n.03'), 'the 21st letter of the Roman alphabet'))]","(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
13,1,['idiot'],"[((Synset('ethical_motive.n.01'), 'motivation based on ideas of right and wrong'), (Synset('motivation.n.01'), 'the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior'))]","(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
14,1,['born'],"[((Synset('situation.n.03'), 'a complex or critical or unusual difficulty'), (Synset('problem.n.01'), 'a state of difficulty that needs to be resolved'))]","(0, None)","(0, None)"
