SN.,size of cluster,cluster member,merge reason,first match count,second match count
0,111,"['able', 'leader', 'ability', 'skills', 'capable', 'intelligence', 'smart', 'leadership', 'wise', 'knowledgeable', 'diplomacy', 'good', 'basic', 'kindness', 'well', 'morality', 'honest', 'honesty', 'integrity', 'unity', 'whole', 'knowledge', 'compassion', 'achievement', 'situations', 'office', 'president', 'negotiator', 'time', 'term', 'experience', 'serve', 'qualified', 'character', 'qualities', 'logical', 'fulfilled', 'different', 'empathy', 'empathize', 'understanding', 'sense', 'u', 'motives', 'think', 'political', 'politics', 'sociology', 'ideas', 'deliberate', 'problem', 'nice', 'polite', 'course', 'run', 'working', 'making', 'constitution', 'goals', 'work', 'care', 'caring', 'solving', 'determination', 'management', 'decisions', 'decisiveness', 'compromise', 'teamwork', 'selfless', 'prejudice', 'prejudices', 'dedication', 'promises', 'dedicated', 'commitment', 'mature', 'long', 'born', 'genuine', 'progressive', 'appeals', 'equality', 'someone', 'humility', 'humble', 'ethic', 'systems', 'relations', 'groups', 'people', 'country', 'county', 'bravery', 'common', 'lot', 'passion', 'friendly', 'approachable', 'willingness', 'calm', 'agreeable', 'strong', 'hard', 'trustworthy', 'trustworthiness', 'idiot', 'sure', 'confident', 'controlling', 'join']","[((Synset('person.n.01'), 'a human being'), (Synset('idiot.n.01'), 'a person of subnormal intelligence'))]","(20, (0, 'leadership', 17, 29))","(0, None)"
1,1,['ulterior'],"[((Synset('situation.n.02'), 'a condition or position in which you find yourself'), (Synset('confidence.n.03'), 'a state of confident hopefulness that events will be favorable'))]","(1, (6, 'honesty', 7, 10))","(0, None)"
2,1,['oriented'],"[((Synset('knead.v.01'), 'make uniform'), (Synset('operate.v.03'), 'handle and cause to function'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
3,1,['proud'],"[((Synset('kindness.n.03'), 'a kind act'), (Synset('joining.n.01'), 'the act of bringing two things into contact (especially for communication)'))]","(1, (8, 'confident', 3, 3))","(0, None)"
4,1,['eloquent'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
5,1,['vast'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
6,1,['preferably'],NA,"(0, None)","(0, None)"
7,1,['exceptionally'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
8,1,['others'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
9,1,['level-headed'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
10,1,['international'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
11,1,['together'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
12,1,['crucial'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
13,1,"[""i'm""]",NA,"(0, None)","(0, None)"
14,1,['peaceful'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
15,1,['levelheadedness'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
16,1,['stressful'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
17,1,['underprivileged'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
18,1,['sophisticated'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
19,1,['umm'],NA,"(0, None)","(0, None)"
20,1,['inclusivity'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
21,1,['politically'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
