SN.,size of cluster,cluster member,merge reason,first match count,second match count
0,5,"['ethic', 'ideas', 'intelligence', 'knowledge', 'skills']","[((Synset('passion.n.01'), 'a strong feeling or emotion'), (Synset('fearlessness.n.01'), 'feeling no fear'))]","(3, (5, 'intelligence/knowledge', 9, 12))","(1, (0, 'leadership', 17, 29))"
1,3,"['situations', 'unity', 'integrity']","[((Synset('situation.n.01'), 'the general state of things; the combination of circumstances at a given time'), (Synset('integrity.n.01'), 'an undivided or unbroken completeness or totality with nothing wanting'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
2,2,"['country', 'county']","[((Synset('ethic.n.01'), 'the principles of right and wrong that are accepted by an individual or a social group'), (Synset('idea.n.01'), 'the content of cognition; the main thing you are thinking about'))]","(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
3,2,"['passion', 'bravery']","[((Synset('idea.n.01'), 'the content of cognition; the main thing you are thinking about'), (Synset('cognition.n.01'), 'the psychological result of perception and learning and reasoning'))]","(1, (4, 'determination', 8, 13))","(0, None)"
4,2,"['leadership', 'someone']",NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
5,1,['genuine'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
6,1,['systems'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
7,1,['negotiator'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
8,1,['progressive'],NA,"(0, None)","(0, None)"
9,1,['honesty'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
10,1,['agreeable'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
11,1,['lot'],NA,"(0, None)","(0, None)"
12,1,['compromise'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
13,1,['others'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
14,1,['level-headed'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
15,1,['vast'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
16,1,['work'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
17,1,['international'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
18,1,['approachable'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
19,1,['experience'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
20,1,['people'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
21,1,['appeals'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
22,1,['smart'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
23,1,['qualities'],NA,"(0, None)","(0, None)"
24,1,['crucial'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
25,1,['sociology'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
26,1,['office'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
27,1,['kindness'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
28,1,['selfless'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
29,1,['able'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
30,1,['goals'],NA,"(0, None)","(0, None)"
31,1,['equality'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
32,1,['leader'],NA,"(0, None)","(0, None)"
33,1,['promises'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
34,1,['confident'],NA,"(1, (8, 'confident', 3, 3))","(0, None)"
35,1,['term'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
36,1,['compassion'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
37,1,['achievement'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
38,1,['humble'],NA,"(1, (9, 'humble', 2, 2))","(0, None)"
39,1,['basic'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
40,1,['character'],NA,"(0, None)","(0, None)"
41,1,['constitution'],NA,"(1, (4, 'determination', 8, 13))","(0, None)"
42,1,['idiot'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
43,1,['mature'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
44,1,['teamwork'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
45,1,['sense'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
46,1,['willingness'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
47,1,['long'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
48,1,['determination'],NA,"(0, None)","(0, None)"
49,1,['proud'],NA,"(1, (8, 'confident', 3, 3))","(0, None)"
50,1,['eloquent'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
51,1,['logical'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
52,1,['calm'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
53,1,['ability'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
54,1,['political'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
55,1,['time'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
56,1,['course'],NA,"(0, None)","(0, None)"
57,1,['humility'],NA,"(1, (9, 'humble', 2, 2))","(0, None)"
58,1,['run'],NA,"(0, None)","(0, None)"
59,1,['common'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
60,1,['honest'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
