SN.,size of cluster,cluster member,merge reason,first match count,second match count
0,6,"['decisions', 'ethic', 'ideas', 'intelligence', 'knowledge', 'skills']","[((Synset('decision.n.02'), 'a position or opinion or judgment reached after consideration'), (Synset('idea.n.03'), 'a personal view'))]","(3, (5, 'intelligence/knowledge', 9, 12))","(2, (0, 'leadership', 17, 29))"
1,6,"['passion', 'bravery', 'situations', 'unity', 'integrity', 'qualities']","[((Synset('passion.n.01'), 'a strong feeling or emotion'), (Synset('situation.n.01'), 'the general state of things; the combination of circumstances at a given time'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
2,3,"['leadership', 'someone', 'politics']","[((Synset('oneness.n.01'), 'the quality of being united into one'), (Synset('quality.n.01'), 'an essential and distinguishing attribute of something or someone'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
3,2,"['country', 'county']","[((Synset('leadership.n.01'), 'the activity of leading'), (Synset('politics.n.05'), 'the activities and affairs involved in managing a state or a government'))]","(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
4,2,"['commitment', 'teamwork']","[((Synset('commitment.n.02'), 'the act of binding yourself (intellectually or emotionally) to a course of action'), (Synset('teamwork.n.01'), 'cooperative work done by a team (especially when it is effective)'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
5,1,['others'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
6,1,['genuine'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
7,1,['systems'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
8,1,['negotiator'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
9,1,['progressive'],NA,"(0, None)","(0, None)"
10,1,['honesty'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
11,1,['agreeable'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
12,1,['lot'],NA,"(0, None)","(0, None)"
13,1,['compromise'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
14,1,['level-headed'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
15,1,['vast'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
16,1,['work'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
17,1,['international'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
18,1,['approachable'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
19,1,['experience'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
20,1,['people'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
21,1,['appeals'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
22,1,['smart'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
23,1,['crucial'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
24,1,['sociology'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
25,1,['office'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
26,1,['selfless'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
27,1,['able'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
28,1,['goals'],NA,"(0, None)","(0, None)"
29,1,['constitution'],NA,"(1, (4, 'determination', 8, 13))","(0, None)"
30,1,['leader'],NA,"(0, None)","(0, None)"
31,1,['promises'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
32,1,['confident'],NA,"(1, (8, 'confident', 3, 3))","(0, None)"
33,1,['term'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
34,1,['compassion'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
35,1,['achievement'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
36,1,['humble'],NA,"(1, (9, 'humble', 2, 2))","(0, None)"
37,1,['basic'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
38,1,['character'],NA,"(0, None)","(0, None)"
39,1,['idiot'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
40,1,['kindness'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
41,1,['mature'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
42,1,['sense'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
43,1,['willingness'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
44,1,['long'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
45,1,['determination'],NA,"(0, None)","(0, None)"
46,1,['proud'],NA,"(1, (8, 'confident', 3, 3))","(0, None)"
47,1,['eloquent'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
48,1,['logical'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
49,1,['calm'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
50,1,['ability'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
51,1,['time'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
52,1,['equality'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
53,1,['join'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
54,1,['humility'],NA,"(1, (9, 'humble', 2, 2))","(0, None)"
55,1,['run'],NA,"(0, None)","(0, None)"
56,1,['common'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
57,1,['honest'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
58,1,['umm'],NA,"(0, None)","(0, None)"
59,1,['wise'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
60,1,['hard'],NA,"(1, (4, 'determination', 8, 13))","(0, None)"
61,1,['empathy'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
62,1,['u'],NA,"(0, None)","(0, None)"
63,1,['motives'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
64,1,['course'],NA,"(0, None)","(0, None)"
65,1,['inclusivity'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
66,1,['strong'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
67,1,['problem'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
68,1,['prejudices'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
69,1,['prejudice'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
70,1,['dedication'],NA,"(1, (4, 'determination', 8, 13))","(0, None)"
71,1,['trustworthy'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
72,1,['ulterior'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
73,1,['nice'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
74,1,['different'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
75,1,['morality'],NA,"(0, None)","(0, None)"
76,1,['good'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
77,1,['whole'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
78,1,['political'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
79,1,"[""i'm""]",NA,"(0, None)","(0, None)"
80,1,['trustworthiness'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
81,1,['capable'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
82,1,['sure'],NA,"(0, None)","(0, None)"
83,1,['relations'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
84,1,['peaceful'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
85,1,['levelheadedness'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
86,1,['management'],NA,"(0, None)","(0, None)"
87,1,['stressful'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
88,1,['decisiveness'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
89,1,['underprivileged'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
90,1,['polite'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
91,1,['diplomacy'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
92,1,['groups'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
93,1,['sophisticated'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
94,1,['deliberate'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
95,1,['president'],NA,"(0, None)","(0, None)"
96,1,['understanding'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
97,1,['care'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
