SN.,size of cluster,cluster member,merge reason,first match count,second match count
0,26,"['able', 'decisions', 'ethic', 'ideas', 'intelligence', 'knowledge', 'skills', 'term', 'passion', 'bravery', 'situations', 'unity', 'integrity', 'qualities', 'course', 'country', 'county', 'lot', 'leadership', 'someone', 'politics', 'honesty', 'goals', 'systems', 'relations', 'motives']","[((Synset('ability.n.02'), 'possession of the qualities (especially mental qualities) required to do something or get something done'), (Synset('intelligence.n.01'), 'the ability to comprehend; to understand and profit from experience'))]","(5, (0, 'leadership', 17, 29))","(0, None)"
1,15,"['controlling', 'making', 'working', 'basic', 'determination', 'humble', 'oriented', 'mature', 'confident', 'willingness', 'long', 'vast', 'genuine', 'international', 'common']","[((Synset('ethic.n.02'), 'a system of principles governing morality and acceptable conduct'), (Synset('system.n.04'), 'a complex of methods or rules governing behavior'))]","(5, (0, 'leadership', 17, 29))","(0, None)"
2,14,"['run', 'achievement', 'promises', 'work', 'experience', 'think', 'smart', 'kindness', 'capable', 'constitution', 'ability', 'sociology', 'time', 'morality']","[((Synset('leadership.n.01'), 'the activity of leading'), (Synset('presidency.n.02'), 'the office and function of president'))]","(4, (0, 'leadership', 17, 29))","(0, None)"
3,12,"['join', 'leader', 'care', 'character', 'selfless', 'equality', 'deliberate', 'commitment', 'teamwork', 'knowledgeable', 'president', 'u']","[((Synset('character.n.08'), 'a written symbol that is used to represent speech'), (Synset('u.n.03'), 'the 21st letter of the Roman alphabet'))]","(2, (0, 'leadership', 17, 29))","(0, None)"
4,5,"['solving', 'compromise', 'appeals', 'office', 'calm']","[((Synset('empathy.n.01'), ""understanding and entering into another's feelings""), (Synset('compassion.n.01'), ""a deep awareness of and sympathy for another's suffering""))]","(2, (0, 'leadership', 17, 29))","(0, None)"
5,4,"['empathy', 'empathize', 'humility', 'compassion']","[((Synset('accomplishment.n.01'), 'the action of accomplishing something'), (Synset('constitution.n.02'), 'the act of forming or establishing something'))]","(2, (1, 'diplomacy', 18, 22))","(0, None)"
6,3,"['groups', 'people', 'management']","[((Synset('able.s.02'), 'have the skills and qualifications to do things well'), (Synset('able.s.02'), 'have the skills and qualifications to do things well'))]","(2, (2, 'relate to diverse groups', 8, 17))","(0, None)"
7,2,"['fulfilled', 'agreeable']","[((Synset('actor.n.02'), 'a person who acts and gets things done'), (Synset('sociologist.n.01'), 'a social scientist who studies the institutions and development of human society'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
8,2,"['understanding', 'sense']","[((Synset('experience.n.03'), 'an event as apprehended'), (Synset('time.n.06'), ""a person's experience on a particular occasion""))]","(1, (3, 'political skills ', 9, 16))","(0, None)"
9,2,"['serve', 'progressive']","[((Synset('kindness.n.01'), 'the quality of being warmhearted and considerate and humane and sympathetic'), (Synset('morality.n.01'), 'concern with the distinction between good and evil or right and wrong; right or good conduct'))]","(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
10,2,"['negotiator', 'idiot']","[((Synset('satisfy.v.01'), 'meet the requirements or expectations of'), (Synset('match.v.01'), 'be compatible, similar or consistent; coincide in their characteristics'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
11,2,"['prejudice', 'prejudices']","[((Synset('clear.v.19'), 'settle, as of a debt'), (Synset('compromise.v.02'), 'settle by concession'))]","(2, (2, 'relate to diverse groups', 8, 17))","(0, None)"
12,2,"['trustworthy', 'trustworthiness']","[((Synset('resolution.n.04'), 'finding a solution to a problem'), (Synset('entreaty.n.01'), 'earnest or urgent request'))]","(2, (6, 'honesty', 7, 10))","(0, None)"
13,2,"['dedication', 'logical']","[((Synset('resolution.n.04'), 'finding a solution to a problem'), (Synset('position.n.06'), 'a job in an organization'))]","(1, (4, 'determination', 8, 13))","(0, None)"
14,1,['together'],"[((Synset('office.n.04'), '(of a government or government official) holding an office means being in power'), (Synset('calmness.n.03'), 'a feeling of calm; an absence of agitation or excitement'))]","(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
15,1,['peaceful'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
16,1,['sure'],NA,"(0, None)","(0, None)"
17,1,"[""i'm""]",NA,"(0, None)","(0, None)"
18,1,['proud'],NA,"(1, (8, 'confident', 3, 3))","(0, None)"
19,1,['political'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
20,1,['crucial'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
21,1,['caring'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
22,1,['preferably'],NA,"(0, None)","(0, None)"
23,1,['approachable'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
24,1,['level-headed'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
25,1,['eloquent'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
26,1,['others'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
27,1,['qualified'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
28,1,['dedicated'],NA,"(1, (4, 'determination', 8, 13))","(0, None)"
29,1,['exceptionally'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
30,1,['born'],NA,"(0, None)","(0, None)"
31,1,['levelheadedness'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
32,1,['diplomacy'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
33,1,['well'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
34,1,['stressful'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
35,1,['ulterior'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
36,1,['problem'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
37,1,['strong'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
38,1,['friendly'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
39,1,['inclusivity'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
40,1,['hard'],NA,"(1, (4, 'determination', 8, 13))","(0, None)"
41,1,['wise'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
42,1,['umm'],NA,"(0, None)","(0, None)"
43,1,['honest'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
44,1,['different'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
45,1,['good'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
46,1,['whole'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
47,1,['sophisticated'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
48,1,['nice'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
49,1,['polite'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
