SN.,size of cluster,cluster member,merge reason,first match count,second match count
0,13,"['decisions', 'ethic', 'ideas', 'intelligence', 'knowledge', 'skills', 'term', 'passion', 'bravery', 'situations', 'unity', 'integrity', 'qualities']","[((Synset('idea.n.01'), 'the content of cognition; the main thing you are thinking about'), (Synset('term.n.04'), 'any distinct quantity contained in a polynomial'))]","(4, (0, 'leadership', 17, 29))","(0, None)"
1,4,"['leadership', 'someone', 'politics', 'honesty']","[((Synset('idea.n.01'), 'the content of cognition; the main thing you are thinking about'), (Synset('quality.n.03'), 'a characteristic property that defines the apparent individual nature of something'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
2,3,"['country', 'county', 'lot']","[((Synset('dedication.n.01'), 'complete and wholehearted fidelity'), (Synset('logicality.n.01'), 'correct and valid reasoning'))]","(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
3,3,"['making', 'working', 'basic']","[((Synset('bias.n.01'), 'a partiality that prevents objective consideration of an issue or situation'), (Synset('bias.n.01'), 'a partiality that prevents objective consideration of an issue or situation'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
4,3,"['empathy', 'empathize', 'humility']","[((Synset('run.n.01'), 'a score in baseball made by a runner touching all four bases safely'), (Synset('accomplishment.n.01'), 'the action of accomplishing something'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
5,3,"['commitment', 'teamwork', 'knowledgeable']","[((Synset('person.n.01'), 'a human being'), (Synset('honesty.n.02'), 'southeastern European plant cultivated for its fragrant purplish flowers and round flat papery silver-white seedpods that are used for indoor decoration'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
6,2,"['prejudice', 'prejudices']","[((Synset('understanding.n.01'), 'the cognitive condition of someone who understands'), (Synset('sense.n.05'), 'a natural appreciation or ability'))]","(2, (2, 'relate to diverse groups', 8, 17))","(0, None)"
7,2,"['groups', 'people']","[((Synset('committedness.n.01'), 'the trait of sincere and steadfast fixity of purpose'), (Synset('knowledgeability.n.01'), 'wisdom as evidenced by the possession of knowledge'))]","(2, (2, 'relate to diverse groups', 8, 17))","(0, None)"
8,2,"['understanding', 'sense']","[((Synset('group.n.01'), 'any number of entities (members) considered as a unit'), (Synset('people.n.01'), '(plural) any group of human beings (men or women or children) collectively'))]","(1, (3, 'political skills ', 9, 16))","(0, None)"
9,2,"['experience', 'think']","[((Synset('country.n.04'), 'an area outside of cities and towns'), (Synset('lot.n.02'), 'a parcel of land having fixed boundaries'))]","(1, (3, 'political skills ', 9, 16))","(0, None)"
10,2,"['negotiator', 'idiot']","[((Synset('experience.n.02'), 'the content of direct observation or participation in an event'), (Synset('idea.n.01'), 'the content of cognition; the main thing you are thinking about'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
11,2,"['run', 'achievement']","[((Synset('negotiator.n.01'), 'someone who negotiates (confers with others in order to reach a settlement)'), (Synset('idiot.n.01'), 'a person of subnormal intelligence'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
12,2,"['determination', 'humble']","[((Synset('make.v.36'), 'proceed along a path'), (Synset('make.v.36'), 'proceed along a path'))]","(1, (9, 'humble', 2, 2))","(0, None)"
13,2,"['dedication', 'logical']","[((Synset('working.n.01'), 'a mine or quarry that is being or has been worked'), (Synset('basic.n.02'), '(usually plural) a necessary commodity for which demand is constant'))]","(1, (4, 'determination', 8, 13))","(0, None)"
14,1,['agreeable'],"[((Synset('determination.n.02'), 'the quality of being determined to do or achieve something; firmness of purpose'), (Synset('humility.n.01'), 'a disposition to be humble; a lack of false pride'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
15,1,['exceptionally'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
16,1,['dedicated'],NA,"(1, (4, 'determination', 8, 13))","(0, None)"
17,1,['systems'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
18,1,['office'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
19,1,['progressive'],NA,"(0, None)","(0, None)"
20,1,['crucial'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
21,1,['compromise'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
22,1,['sociology'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
23,1,['genuine'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
24,1,['level-headed'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
25,1,['work'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
26,1,['international'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
27,1,['approachable'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
28,1,['appeals'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
29,1,['smart'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
30,1,['together'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
31,1,['others'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
32,1,['able'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
33,1,['caring'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
34,1,['selfless'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
35,1,['politically'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
36,1,['leader'],NA,"(0, None)","(0, None)"
37,1,['promises'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
38,1,['confident'],NA,"(1, (8, 'confident', 3, 3))","(0, None)"
39,1,['compassion'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
40,1,['oriented'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
41,1,['constitution'],NA,"(1, (4, 'determination', 8, 13))","(0, None)"
42,1,['character'],NA,"(0, None)","(0, None)"
43,1,['mature'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
44,1,['willingness'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
45,1,['long'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
46,1,['proud'],NA,"(1, (8, 'confident', 3, 3))","(0, None)"
47,1,['eloquent'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
48,1,['born'],NA,"(0, None)","(0, None)"
49,1,['calm'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
50,1,['ability'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
51,1,['goals'],NA,"(0, None)","(0, None)"
52,1,['kindness'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
